country,code,population,lastDate,peopleFullyVaccinated,vaccinatedPerHundred,averagePeoplePerDay,targetDate
Malta,MLT,441539,20.02.2021,20189,4.57,441,"August 2022"
"Marshall Islands",MHL,59194,,,,,
Martinique,MTQ,375265,,,,,
Mauritania,MRT,4649660,,,,,
Mauritius,MUS,1271767,17.02.2021,,,,
Mayotte,MYT,272813,,,,,
Melanesia,OWID_MNS,11122990,,,,,
Mexico,MEX,128932753,21.02.2021,453055,0.35,52409,"March 2025"
"Micronesia (country)",FSM,115021,,,,,
Moldova,MDA,4033963,,,,,
Monaco,MCO,39244,18.01.2021,,,,
Mongolia,MNG,3278292,,,,,
Montenegro,MNE,628062,,,,,
Montserrat,MSR,4999,,,,,
Morocco,MAR,36910558,20.02.2021,13476,0.04,1926,"August 2052"
Mozambique,MOZ,31255435,,,,,
Myanmar,MMR,54409794,02.02.2021,,,,
Namibia,NAM,2540916,,,,,
Nauru,NRU,10834,,,,,
Nepal,NPL,29136808,04.02.2021,,,,
Netherlands,NLD,17134873,20.02.2021,,,,
"New Caledonia",NCL,285491,,,,,
"New Zealand",NZL,4822233,20.02.2021,,,,
Nicaragua,NIC,6624554,,,,,
Niger,NER,24206636,,,,,
Nigeria,NGA,206139587,,,,,
Niue,NIU,1618,,,,,
"North Korea",PRK,25778815,,,,,
"Northern Mariana Islands",MNP,57557,,,,,
Norway,NOR,5421242,18.02.2021,93251,1.72,2999,"January 2024"
Oman,OMN,5106622,21.02.2021,19019,0.37,964,"October 2029"
Pakistan,PAK,220892331,21.02.2021,,,,
Palau,PLW,18092,,,,,
Palestine,PSE,5101416,,,,,
Panama,PAN,4314768,21.02.2021,,,,
"Papua New Guinea",PNG,8947027,,,,,
Paraguay,PRY,7132530,,,,,
Peru,PER,32971846,21.02.2021,,,,
Philippines,PHL,109581085,,,,,
Poland,POL,37846605,21.02.2021,929965,2.46,38819,"September 2022"
Polynesia,OWID_PYA,683778,,,,,
Portugal,PRT,10196707,21.02.2021,246433,2.42,6962,"June 2023"
"Puerto Rico",PRI,2860840,,,,,
Qatar,QAT,2881060,17.02.2021,,,,
Reunion,REU,895308,,,,,
Romania,ROU,19237682,21.02.2021,576126,2.99,17423,"November 2022"
Russia,RUS,145934460,10.02.2021,,,,
Rwanda,RWA,12952209,,,,,
"Saint Barthlemy",,9885,,37773,1.2,4361,"February 2021"
"Saint Helena",SHN,6071,03.02.2021,,,,
"Saint Kitts and Nevis",KNA,53192,,,,,
"Saint Lucia",LCA,183629,,,,,
"Saint Martin (French part)",MAF,38659,,,,,
"Saint Pierre and Miquelon",SPM,5795,,,,,
"Saint Vincent and the Grenadines",VCT,110947,,,,,
Samoa,WSM,198410,,,,,
"San Marino",SMR,33938,,,,,
"Sao Tome and Principe",STP,219161,,,,,
"Saudi Arabia",SAU,34813867,18.02.2021,,,,
Senegal,SEN,16743930,,,,,
Serbia,SRB,6804596,14.02.2021,,,,
"Serbia (including Kosovo)",,9885,,37773,1.2,4361,"February 2021"
Seychelles,SYC,98340,20.02.2021,21599,21.96,737,"April 2021"
"Sierra Leone",SLE,7976985,,,,,
Singapore,SGP,5850343,18.02.2021,110000,1.88,14858,"October 2021"
"Sint Maarten (Dutch part)",SXM,42882,,,,,
Slovakia,SVK,5459643,21.02.2021,95291,1.75,3685,"July 2023"
Slovenia,SVN,2078932,20.02.2021,49917,2.4,247,"June 2034"
"Solomon Islands",SLB,686878,,,,,
Somalia,SOM,15893219,,,,,
"South Africa",ZAF,59308690,21.02.2021,15388,0.03,2199,"June 2065"
"South Korea",KOR,51269183,,,,,
"South Sudan",SSD,11193729,,,,,
Spain,ESP,46754783,18.02.2021,1171026,2.5,10587,"February 2028"
"Sri Lanka",LKA,21413250,21.02.2021,,,,
Sudan,SDN,43849269,,,,,
Suriname,SUR,586634,,,,,
Eswatini,SWZ,1160164,,,,,
Sweden,SWE,10099270,19.02.2021,187751,1.86,10221,"September 2022"
Switzerland,CHE,8654618,17.02.2021,137405,1.59,5044,"November 2023"
Syria,SYR,17500657,,,,,
Taiwan,TWN,23816775,,,,,
Tajikistan,TJK,9537642,,,,,
Tanzania,TZA,59734213,,,,,
Thailand,THA,69799978,,,,,
Timor,TLS,1318442,,,,,
Togo,TGO,8278737,,,,,
Tokelau,TKL,1350,,,,,
Tonga,TON,105697,,,,,
"Trinidad and Tobago",TTO,1399491,,,,,
Tunisia,TUN,11818618,,,,,
Turkey,TUR,84339067,21.02.2021,1053837,1.25,68566,"February 2023"
Turkmenistan,TKM,6031187,,,,,
"Turks and Caicos Islands",TCA,38718,08.02.2021,,,,
Tuvalu,TUV,11792,,,,,
Uganda,UGA,45741000,,,,,
Ukraine,UKR,43733759,,,,,
"United Arab Emirates",ARE,9890400,21.02.2021,,,,
"United Kingdom",GBR,67886004,20.02.2021,615148,0.91,9855,"April 2032"
"United States",USA,331002647,21.02.2021,18865319,5.64,683983,"November 2021"
"United States Virgin Islands",VIR,104423,,,,,
Uruguay,URY,3473727,,,,,
Uzbekistan,UZB,33469199,,,,,
Vanuatu,VUT,307150,,,,,
Vatican,VAT,809,,,,,
Venezuela,VEN,28435943,,,,,
Vietnam,VNM,97338583,,,,,
"Wallis and Futuna",WLF,11246,,,,,
"Western Sahara",ESH,597330,,,,,
World,OWID_WRL,7794798729,,39307519,0.5,1431184,"January 2030"
Yemen,YEM,29825968,,,,,
Zambia,ZMB,18383956,,,,,
Zimbabwe,ZWE,14862927,,,,,
Guernsey,GGY,67052,14.02.2021,,,,
Jersey,JEY,101073,14.02.2021,,,,
