iso_code,location,population,date,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,target_date
RWA,Rwanda,12952209,,,,,,,,,,,
,"Saint Barthlemy",9885,,,,,,,,,,,"Feb 2021"
SHN,"Saint Helena",6071,2021-02-03T00:00:00.000Z,Oxford/AstraZeneca,107,,,,1.76,,,,
KNA,"Saint Kitts and Nevis",53192,,,,,,,,,,,
LCA,"Saint Lucia",183629,,,,,,,,,,,
MAF,"Saint Martin (French part)",38659,,,,,,,,,,,
SPM,"Saint Pierre and Miquelon",5795,,,,,,,,,,,
VCT,"Saint Vincent and the Grenadines",110947,,,,,,,,,,,
WSM,Samoa,198410,,,,,,,,,,,
SMR,"San Marino",33938,,,,,,,,,,,
STP,"Sao Tome and Principe",219161,,,,,,,,,,,
SAU,"Saudi Arabia",34813867,2021-02-18T00:00:00.000Z,Pfizer/BioNTech,501710,,,8178,1.44,,,235,
SEN,Senegal,16743930,,,,,,,,,,,
SRB,Serbia,6804596,2021-02-14T00:00:00.000Z,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",987000,805000,182000,63256,14.5,11.83,2.67,9296,
,"Serbia (including Kosovo)",9885,,,,,,,,,,,"Feb 2021"
SYC,Seychelles,98340,2021-02-20T00:00:00.000Z,"Oxford/AstraZeneca, Sinopharm/Beijing",65060,43461,21599,1297,66.16,44.19,21.96,13189,"Apr 2021"
SLE,"Sierra Leone",7976985,,,,,,,,,,,
SGP,Singapore,5850343,2021-02-18T00:00:00.000Z,Pfizer/BioNTech,360000,250000,110000,13000,6.15,4.27,1.88,2222,"Oct 2021"
SXM,"Sint Maarten (Dutch part)",42882,,,,,,,,,,,
SVK,Slovakia,5459643,2021-02-21T00:00:00.000Z,Pfizer/BioNTech,367632,272341,95291,9800,6.73,4.99,1.75,1795,"Jul 2023"
SVN,Slovenia,2078932,2021-02-20T00:00:00.000Z,"Oxford/AstraZeneca, Pfizer/BioNTech",144075,94158,49917,3412,6.93,4.53,2.4,1641,"Jun 2034"
SLB,"Solomon Islands",686878,,,,,,,,,,,
SOM,Somalia,15893219,,,,,,,,,,,
ZAF,"South Africa",59308690,2021-02-21T00:00:00.000Z,Johnson&Johnson,15388,15388,15388,3078,0.03,0.03,0.03,52,"Jun 2065"
KOR,"South Korea",51269183,,,,,,,,,,,
SSD,"South Sudan",11193729,,,,,,,,,,,
ESP,Spain,46754783,2021-02-18T00:00:00.000Z,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2936011,1764985,1171026,73281,6.28,3.77,2.5,1567,"Feb 2028"
LKA,"Sri Lanka",21413250,2021-02-21T00:00:00.000Z,Oxford/AstraZeneca,338769,,,21346,1.58,,,997,
SDN,Sudan,43849269,,,,,,,,,,,
SUR,Suriname,586634,,,,,,,,,,,
SWZ,Eswatini,1160164,,,,,,,,,,,
SWE,Sweden,10099270,2021-02-19T00:00:00.000Z,"Oxford/AstraZeneca, Pfizer/BioNTech",585843,398092,187751,18283,5.8,3.94,1.86,1810,"Sep 2022"
CHE,Switzerland,8654618,2021-02-17T00:00:00.000Z,"Moderna, Pfizer/BioNTech",611842,474437,137405,18634,7.07,5.48,1.59,2153,"Nov 2023"
SYR,Syria,17500657,,,,,,,,,,,
TWN,Taiwan,23816775,,,,,,,,,,,
TJK,Tajikistan,9537642,,,,,,,,,,,
TZA,Tanzania,59734213,,,,,,,,,,,
THA,Thailand,69799978,,,,,,,,,,,
TLS,Timor,1318442,,,,,,,,,,,
TGO,Togo,8278737,,,,,,,,,,,
TKL,Tokelau,1350,,,,,,,,,,,
TON,Tonga,105697,,,,,,,,,,,
TTO,"Trinidad and Tobago",1399491,,,,,,,,,,,
TUN,Tunisia,11818618,,,,,,,,,,,
TUR,Turkey,84339067,2021-02-21T00:00:00.000Z,Sinovac,6571830,5517993,1053837,392390,7.79,6.54,1.25,4653,"Feb 2023"
TKM,Turkmenistan,6031187,,,,,,,,,,,
TCA,"Turks and Caicos Islands",38718,2021-02-08T00:00:00.000Z,Pfizer/BioNTech,6433,6433,,222,16.62,16.62,,5734,
TUV,Tuvalu,11792,,,,,,,,,,,
UGA,Uganda,45741000,,,,,,,,,,,
UKR,Ukraine,43733759,,,,,,,,,,,
